,time,state,acc,ch1,ch2,ch3,ch4,ch5
0,0,a,0.2786514304834309,0.3763430000000003,0.6305000000000005,0.0,0.30302799999999985,0.0
1,1,a,0.36072607321182026,0.4203310000000005,1.0068430000000004,0.0,0.5083080000000004,0.0
2,2,a,0.4268540877929713,0.4545470000000007,0.933528,0.0,0.4545480000000008,0.0
3,3,a,0.35258975308319085,0.4203330000000003,1.1436940000000004,0.0,0.4398840000000006,0.0
4,4,a,0.28931937654159545,0.3616820000000001,0.7380250000000004,0.0,0.42033100000000007,0.0
5,5,a,0.3365243634336419,0.4252190000000001,0.8064519999999988,0.0,0.4887590000000004,0.0
6,6,a,0.2843943823507191,0.3225800000000012,0.6304980000000002,0.0,0.5669590000000007,0.0
7,7,a,0.35114747280701925,0.3714560000000002,0.6158360000000003,0.0,0.469211,0.0
8,8,a,0.2624198794461572,0.2785919999999997,0.5718470000000009,0.0,0.5083080000000009,0.0
9,9,a,0.2065379941908765,0.2883659999999999,0.5376329999999996,0.0,0.7869009999999999,0.0
10,10,a,0.3501244000254254,0.25415399999999977,0.9042030000000008,0.034212000000000575,0.6304989999999999,0.0
11,11,a,0.3689707365959163,0.2737029999999998,0.4789839999999996,0.009775999999999565,0.4692060000000002,0.0
12,12,a,0.1613094970954384,0.37634500000000015,0.8113389999999998,0.004887999999999781,0.3470200000000001,0.0
13,13,a,0.36971818937574497,0.3225800000000003,0.5620729999999994,0.009775999999999565,0.4594330000000007,0.0
14,14,a,0.19311943048343086,0.2394909999999997,0.5083080000000009,0.009775999999999565,0.62561,0.0
15,15,a,0.24264859916998585,0.2394919999999989,0.5229720000000007,0.009775999999999565,0.5767370000000005,0.0
16,16,a,0.30831234397292284,0.2541549999999999,0.4936470000000002,0.004887999999999781,0.6695980000000006,0.0
17,17,a,0.26462510207454765,0.2785919999999997,0.5620730000000003,0.009775999999999565,0.4838699999999996,0.0
18,18,a,0.1816215327270848,0.2737040000000004,0.5278590000000003,0.009775999999999565,0.2981439999999993,0.0
19,19,a,0.35335269543540976,0.14662599999999948,0.21994200000000053,0.004887999999999781,0.21016600000000046,0.0
20,20,a,0.17298210207454756,0.24438000000000004,0.4838719999999994,0.009775999999999565,0.30302900000000044,0.0
21,21,a,0.2842315933608623,0.2052769999999997,0.4203310000000005,0.0,0.4007810000000007,0.0
22,22,a,0.23599420414909505,0.12219000000000026,0.3079169999999998,0.0,0.23949,0.0
