,acc,ch1,ch2,ch3,ch4,ch5
0,0.0,0.0889,0.1458,0.048,0.12305,0.11205
1,0.0,0.004750000000000001,0.0072499999999999995,0.008150000000000001,0.0038000000000000004,0.00565
2,0.0,0.003949999999999999,0.004799999999999999,0.0036499999999999996,0.00615,0.007549999999999999
3,0.0,0.007299999999999999,0.0168,0.012149999999999998,0.015000000000000003,0.0066
4,0.0,0.010099999999999998,0.0124,0.009899999999999999,0.00985,0.0079
5,0.0,0.005549999999999999,0.010699999999999998,0.007250000000000001,0.00835,0.0034000000000000007
6,0.0,0.0039000000000000003,0.00955,0.005300000000000001,0.012300000000000002,0.0111
7,0.0,0.005300000000000001,0.006499999999999999,0.006700000000000001,0.013750000000000002,0.01025
8,0.0,0.11150000000000002,0.07865,1.43265,0.38625,0.38025
9,0.0,0.2021,0.1808,0.9546500000000001,0.48745000000000005,2.2854
10,0.0,0.5611499999999999,0.853,0.07064999999999999,0.13319999999999999,1.11395
11,0.0,1.1859000000000002,1.7093500000000001,0.8654499999999999,0.72195,0.96345
12,0.0,0.49585,0.8139,0.1299,0.10129999999999999,0.11900000000000001
13,0.0,1.0543500000000001,1.98815,0.3627,0.5579999999999999,1.12235
14,0.0,0.5842499999999999,0.8565999999999999,0.6309500000000001,0.9409,0.4174
15,0.0,0.37124999999999997,0.58805,0.0713,0.04249999999999999,0.13899999999999998
16,0.0,0.0348,0.036849999999999994,0.0189,0.0157,0.027450000000000002
17,0.0,0.028,0.03265,0.007899999999999999,0.00825,0.0112
18,0.0,0.02825,0.03005,0.014900000000000002,0.01005,0.01625
19,0.0,0.016399999999999998,0.0202,0.013649999999999999,0.006600000000000001,0.014
20,0.0,0.24625,0.46569999999999995,0.0726,0.1197,0.2164
21,0.0,0.7766,1.36825,0.29945000000000005,0.48840000000000006,0.8348000000000001
22,0.0,1.70285,1.3525500000000004,0.6382500000000001,0.73785,1.2258
23,0.0,1.3571,1.7090500000000002,0.7236499999999999,0.9655000000000001,0.5971000000000001
24,0.0,1.4056000000000002,1.7665499999999998,0.4058000000000001,0.7862499999999999,0.8952499999999999
25,0.0,1.1696000000000002,1.33605,0.24514999999999998,0.543,0.51
26,0.0,0.7831,0.8793,0.215,0.6426000000000001,0.5389499999999999
27,0.0,0.6636000000000001,0.7387999999999999,0.29975,0.6443,0.53765
28,0.0,0.6755000000000001,1.1446,0.3817,0.45539999999999997,0.8442999999999999
29,0.0,0.44844999999999996,0.5115000000000001,0.43184999999999996,0.30190000000000006,0.86105
30,0.0,1.52335,1.4311500000000001,0.30500000000000005,0.5998999999999999,0.6264000000000002
31,0.0,1.00795,0.9396999999999999,0.26505,0.49735,0.7319000000000001
32,0.0,1.2410500000000002,2.12335,0.28350000000000003,0.40725,0.48639999999999994
33,0.0,1.6845,1.3645,0.22565,0.5361,0.5571999999999999
34,0.0,1.07305,1.7087,0.20690000000000003,0.30665,0.3988
35,0.0,1.05675,1.021,0.23995000000000002,0.51155,0.49305000000000004
36,0.0,0.9300000000000002,1.31225,0.24425,0.39305,0.59235
